User,Rating,Date,ReviewText
Monarch,Rated 4 stars out of five stars,19-Jun-20,Excellent app but sometimes invalid vpa error comes & when full vpa id is entered it works. Also password reset is not working shows invalid token id. Fix these and no body can beat you guys
AKSHAY KIRAN,Rated 1 stars out of five stars,22-Jun-20,Very bad experience the cashback is not credited .fake app. When i try to deregister it says that bank server has problem .very bad experience.
MANOJ KUMAR,Rated 3 stars out of five stars,03-Jun-20,"The option to de-register a UPI account does not work, it always states an error, UPI does not de-register without changing the mobile number. The option to delete the previous primary number does not work. This problem does not go away even after reinstalling the Mobikwik app and logging in to another mobile, fix it soon. On contacting the customer support service, incorrect information is given, a lot of waiting has to be done."
akilan aki,Rated 1 stars out of five stars,18-Jun-20,"Unable to update my profile for wallet benefits. Unable to recharge any number and everytime I try recharging I get ""Something went wrong"" error. This is frustrating."
value to money tech,Rated 4 stars out of five stars,17-Jun-20,It is better than payment app. It is because you can get supercash and you can easily earn some money on any recharge.
Dhruval patel,Rated 1 stars out of five stars,17-Jun-20,"Worst application of the year, I have done recharge of ₹ 399 money debited but recharge not receive it's 2 day, and not taking responsibility for that saying contect your sim card company we have done recharge successfully from our side"
Rajat Mehra,Rated 1 stars out of five stars,14-Jun-20,Lately I have not able to transfer money using UPI. It always show some technical problem occur. Kindly fix that issue because it's been a issue from your end not from our side.
Glynis Lamb,Rated 1 stars out of five stars,25-Jun-20,I hate this app. I lost money using this app. There's no real time customer service number where one can lodge a service complaint for unsuccessful money transactions and subsequent reimbursement. Communication via bot is a waste of time! Seriously....this app is dangerous when it comes to money transfers. Beware!
Hari,Rated 1 stars out of five stars,13-Jun-20,"When making payment through mobikwik wallet, no sms is being send as confirmation. This is very much required for tracking the spends using other sms based apps. Please fix it"
Omkar Mane,Rated 3 stars out of five stars,05-Jun-20,Moratorium has been extended by RBI till 31 august guys. There is no extension of emi option available on the app.. Can you please fix it? I want to avail it till august 31
abdul Rashid,Rated 5 stars out of five stars,17-Jun-20,Best and easiest to use. King of wallets. Your cash back scheme is really great. I like it most.
Aswini Das,Rated 1 stars out of five stars,20-Jun-20,Such worst app I have never seen before.It takes 48 to recharge a number.But the amount deducted from wallet within 1 second.I have very disappointed with the service.Plz don't do any transaction from such worst app.
Rohan Jha,Rated 4 stars out of five stars,10-Jun-20,This app so beautiful but there is only one problem that is money transfer from bank was only happens when your kyc is update.
Sheik Touhid,Rated 1 stars out of five stars,20-Jun-20,Worst app every transaction is complete but still payment gets decline and we doesn't no the issue and no proper response from the cc and refunds are on hold and no updates from the team.
Rajat Bhatia,Rated 1 stars out of five stars,28-Jun-20,Cashback offers didn't work. I do the transaction 3 days ago but my cashback is not credited yet. After contact to customer support team they don't give us resolution.
karan mehta,Rated 1 stars out of five stars,03-Jun-20,"Not at all user friendly app. Also, tried doing a recharge using the app which failed and when tried reaching out to the customer care their response time is very pathetic."
Amber Routella,Rated 5 stars out of five stars,17-Jun-20,Mobikwik is the best platform in terms of digi pay and other feature as compared to other competitors. They provide a great UI with great features... Love it Team
Aditya Gaurav,Rated 1 stars out of five stars,02-May-20,This is a fraud app. They always receive the money from users and didn't complete the transactions. There is no features of contacting them. No email . No helpline number nothing. This happened to me 3 times. So i decided to rate this app. Be alert . Don't install this app. You can enjoy so many other apps.
nishant maurya,Rated 5 stars out of five stars,04-Jun-20,It is very smooth conducting and better than other similar apps. The best part is that you can register any other mobile number too.
Rupsha Chakraborty,Rated 1 stars out of five stars,09-Jun-20,I have done a recharge of 485 My bank deducted the money but this app showed that the recharge is failed and I have lost my money When I try to make a complaint there is no way to do that successfuly
mentally shrewd,Rated 1 stars out of five stars,13-Jun-20,"I haven't seen any financial app to be so disgusting, poor quality and complicated like mobikwik. When ever I made any mobile recharge it takes hour to confirm your recharge. And if by chance your recharge decline.. then the money which debited from UPI account is credited to mobikwik wallet which could not be added to bank.. If you want to tranfer it to bank it asks for 5% tax.. If it were possible I would rate it zero.. Mobikwik delink my sbi account .."
Manoj 1199 Manoj,Rated 1 stars out of five stars,24-Jun-20,"I entered wrong number ,but recharge was done and amount was taken from my wallet 😣 worst appp ,when call to that number it was telling it is a wrong number"
SHA M,Rated 1 stars out of five stars,12-May-20,"Very Bad UI. When opening App 1. Everytime asks for full KYC. Click back, asks for continue/No thanks. Click No thanks again KYC page appears. Click back again to go to home page. 2. Can't exit the app easily either. Click back asks for are you sure you want to exit. Click yes but App doesn't close and need to click back again. Who is that Great App designer who made this App so sticky ? Is Mobikwik expecting users to Use only this App and nothing else ?"
Sayan Sinha,Rated 1 stars out of five stars,13-Jun-20,"Worst payment app in the history. Full of bugs and fradulents, doesn't reward cashback even after hosting offers."
durgesh singh,Rated 5 stars out of five stars,29-Jun-20,"It is good app, which provides coupons which you can use at the time of payment."
Devendra Singh Mehra,Rated 1 stars out of five stars,10-Jun-20,"भिखारियों का application है, इसके developer भी भिखारी हैं. Very poor application many bugs. You can't resister your bank aacount easily."
SUDIPTA SAHA,Rated 1 stars out of five stars,23-Jun-20,One payment. Twice money deducted from account. But no clarification after 10 days too. Its customer service is not handy at all.
