User,Rating,Date,ReviewText
Ajinkya Bawaskar,Rated 1 stars out of five stars,22-Jun-20,"To the UI/UX guy, please note that users have muscle memory and they hate it when one thing they're looking for keeps changing place every update. For god's sake you have the analytics of what features your users are using the most so just let them be and continue A/B testing with rest of the features. Please stick with one interface. Thank you."
ARDHENDU GUIN,Rated 1 stars out of five stars,06-Jun-20,"Hi, I have nothing to tell about the matters are there in the app but the way it perform is it not like Paytm way( using versions 8.10.8, mob: Asus max pro M2) It is taking much longer time than usual to open when it is urgently required, like the delivery boy asking for secure PIN at that time I am getting frastate to open my order, yes it is one of the reason I am trying to avoid shopping through Paytm."
dinesh sharma,Rated 1 stars out of five stars,11-Jun-20,I'm not able to avail coronavirus insurance service throught the application. On clicking the coronavirus insurance on the paytm app it shows an error message on screen. PLEASE HELP AND RESOLVE THE ISSUE ASAP. Further my paytm helpline service is not working. I'm not able to click on the contact for help option. So I cant raise any ticket on the paytm app.
Raghav Sharma,Rated 3 stars out of five stars,26-Jun-20,Battery Hogging Bug in the latest update! Paytm is consuming unusually high battery since atleast the latest update. Just 13 mins usage is accounting for 33% battery usage of all apps. The second in this list is Google Chrome with 4h 36m usage time and just 23% battery usage.
Weird D I C K,Rated 1 stars out of five stars,08-Jun-20,"This appp is broken... Today I installed this app and tried to link my bank account with this appp.... And when I choose my bank and submitted... Nothing happened... I nearly waited for one hour.. At the bottom it shows"" Don't press back or switch to another app while we are verifying your details"" Though I choose my phone no. Correctly which is link with my bank account ... After that I tried again and waited for 7 min and again nothing happened... 😡"
Rajveer Singh,Rated 1 stars out of five stars,11-Jun-20,I m using Paytm from last 4 years and there is no doubt the app working fine but after New update the app sucks alot.. Now I don't load money in my Paytm saving account from different account... It's say you have to use rupay debit card ...I don't know in today's world anyone use rupay cards ... Now it's sucks alot because of this ... I started using Google pay ... Plz Paytm admin change such things or no one use this app in future
Dinesh Paliwal,Rated 1 stars out of five stars,21-Jun-20,"Deactivating the app. Its irritating when I add money it automatically added into PaytmBank not in the Wallet and when I want to use the money, Paytm bank disappears and only wallet shown and asked for the money from the linked account. When I have already added money in paytm bank and wallet then why the app always asked money from my bank account. Why does the available money be used. The app only wants our money to be added in it. I'm not happy and unistalling it permanently."
Ashutosh Gupta,Rated 2 stars out of five stars,13-Jun-20,"Implimentation of PayTM Payement Bank is insanly stupid! My last transaction got pending and their is no option in app to check that transaction's current status. Checking passbook, just reports Money Transferred with a big green colored tick on top! Confirming with customer care, reported that transaction is still pending. Such incomplete app implementation! You can't even check the complete account details (like complete account number) of account you made last transactions to."
Kamal Kumar,Rated 1 stars out of five stars,28-Jun-20,Worst situation now. Please don't download or use this app for any travel vouchers. Last month I bought a TRAVELPASS with a flight ticket at a price of Rs.399/-. The pass was delivered but when booking the flight ticket with the pass it shows that pass needs to be purchased again. I raised several complaints with screenshots attached but all the complaints were closed without any solution.. I urge uh not to use this app. If your money goes then these customer care doesn't reply. Worst.
hina kathuria Manra,Rated 1 stars out of five stars,03-Jun-20,Worst app.. worst customer support... I was making regular transaction from this app but never got any problem since last 2 months I am not able to share my payment receipt and from last 10 days I raised a query to there customer support for which I am not getting any appropriate answer... Everytime they just say update the app or uninstall and reinstall... But don't know how many times.... My problem is still there...
kirty,Rated 1 stars out of five stars,19-Jun-20,"Earlier, we could add money through any debit card. But now they have removed that feature. Worst. Why would we keep paytm when we cant add money. whats thr use of paytm? Only Ruayp card is accepted. (Where will we get rupay card?) i mean who has? Visa or master card is so common that we can find it in any home. thinking - discontinue the use of paytm"
Raj Mohan,Rated 3 stars out of five stars,22-Jun-20,"Recharging facilities okay., but Transactions not possible from my Paytm wallet to my own Paytm registered bank account ! If it possible, You're taking interest for such transaction and Transaction not possible to any bank account without filling KYC details. Never ever ask Adhar number, PAN details etc.. which is not fair, as you're a third party application. Need much more improvements."
Sajahan Miah,Rated 5 stars out of five stars,05-Jun-20,"This is the best app ever made for payment you have all the options you want in this one app, you can trasfer money as others app do but, you can pay in this app through net banking which is not available in most of the others apps.. And you have all unique and all kinds of payment you want, example insurance pay, datacard pay and all kinds of bills pay and everything that you need and broadband too... You will just love it😊 As i love this app."
Hrushikesh Nibandhe,Rated 1 stars out of five stars,22-Jun-20,"Really disappointed when they removed option for transfering funds using any debit card , i tried to raise a complaint and all they said is close your app and start it again , use it on another device , According to them i should buy new phone everytime when such bugs are found and when they have no bloody solution for it ..!!"
Chitrasen,Rated 1 stars out of five stars,05-Jun-20,"03/06/2020: Paytm should allow customer to have the option of temporary turning off fastag. Multiple time wrong deductions due to wrong mapping of fastag. Though money reverted in 15 days but still fast mapping is not yet corrected though passed about 3 months. Responses to the requests raised in app are really pathetic and worse than AI bots with so much delay in resolution. Raised requests are closed without any resolution and suggesting a request Id which never existed in app. 05/06/2020: Instead of fixing its own mistake, got a message that Fastag is going to be deactivated unilaterally when all my request for activating after validating it properly. I am still interested to use the same sticker with PayTM. Is PayTM really listening?"
Kuldeep Rathaur,Rated 1 stars out of five stars,20-Jun-20,First off all I going to give one star because of latest update. When I update paytm app it automatically log out. From that time I am trying to login but I am not able to log in into this app because of Otp. When I will fill password otp send successfuly. But I am recovering otp after 15 to 20 Minutes . I think the latest version is not good Please solve my problem.
Prashant Mahajan,Rated 2 stars out of five stars,23-Jun-20,Updates are making app worst. It used to be a small any easy app but after update you didn't add much special but make app confusing. And after update I'm not able to open my gild locker. So please kindly make changes in your app and try to make update smaller and useful.
Kasim Patel,Rated 2 stars out of five stars,07-Jun-20,"Feedback: Every month I pay as following: 4 mobile recharge 1 electricity bill 1 gas bill For each bill as mentioned above I need to do single transaction which leads to 20 minutes in total including OTP etc. Suggestion: By introducing ""Add to Cart"" features on your PayTM application I can add all my bills at once and with single transaction recorded on my bank account which reduce time of spending Paytm from 20 to 5 minutes. I hope this would help you to improve your application -Kasim"
Benson prasanth,Rated 3 stars out of five stars,12-Jun-20,Whenever I try to send to money to another's bank account it's shows that the upi pin I have entered in incorrect. 1st time I thought I had wrongly typed so I changed to new pin then I tried again It shows wrong pin what's the problem with it?. But I use the same pin to check my balance it's working. Please kindly resolve this problem.
Aashay Pandey,Rated 4 stars out of five stars,05-Jun-20,"Why have you removed the feature of adding money in savings account using visa debit card?Kindly bring back that feature. Other wise many users will try to move away from paytm.Being,one of the oldest users of paytm I request you to bring back that feature of adding money in savings account using visa debit card."
sanith reddy,Rated 1 stars out of five stars,26-Jun-20,Dont use paytm app in any transaction they will deduct money from us and keep in pending. After 2 days they will say money has been sent to the receivers bank. But i checked the bank statement and there is no record of money received in receivers bank. It means paytm keeps those money and they will say there is no problem in our side. We cant do anything because there office will be far away from us.
somraj soni,Rated 1 stars out of five stars,26-Jun-20,"Worst customer service I've experienced it took more than 50 minutes to connect to customer service.I've raised text complaint also in app but no response. It's regarding credit shell which now shows nil. You guys just improve your UI to make the app attractive once the transaction is done service is so poor. If it'd be possible i may have given zero star in rating. You guys should be ashamed of yourself, this is just customer harassment."
